New Org, Twitter,	Input,	RTs,	NoLink,	Output
USA Today,usatoday, 	3198, 	732, 	152, 	1986
Wall Street Journal Eastern Central Western,wsj, 	1333, 	15, 	3, 	1246
New York Times,nytimes, 	2992, 	608, 	7, 	2277
Los Angeles Times,latimes, 	1084, 	201, 	7, 	775
Chicago Tribune,chicagotribune, 	2176, 	200, 	4, 	1878
New York Post,nypost, 	3159, 	74, 	2, 	2972
Washington Post,washingtonpost, 	2005, 	81, 	22, 	1809
Newsday,newsday, 	227, 	17, 	2, 	206
Star Tribune,startribune, 	821, 	83, 	9, 	708
Daily News,nydailynews, 	1161, 	157, 	20, 	897
The Denver Post/The Sunday Denver Post,denverpost, 	898, 	110, 	0, 	762
Dallas Morning News,Dallasnews, 	1058, 	176, 	93, 	789
Arizona Republic,azcentral, 	1107, 	243, 	26, 	677
Tampa Bay Times (formerly St. Petersburg Times),tampabay, 	2356, 	188, 	6, 	2146
Boston Globe,bostonglobe, 	2478, 	240, 	8, 	1772
Seattle Times,seattletimes, 	678, 	92, 	10, 	561
The Star-Ledger,starledger, 	40, 	0, 	0, 	40
Philadelphia Inquirer,phillyinquirer, 	828, 	13, 	1, 	814
amNewYork,amnewyork, 	184, 	3, 	2, 	179
Plain Dealer Plain Dealer Sunday,Theplaindealer, 	148, 	114, 	28, 	3
San Francisco Chronicle,sfchronicle, 	807, 	134, 	34, 	589
St. Paul Pioneer Press,pioneerpress, 	635, 	5, 	7, 	622
Orlando Sentinel,orlandosentinel, 	2102, 	6, 	82, 	2004
The San Diego Union-Tribune,sdut, 	715, 	38, 	28, 	646
Kansas City Star,kcstar, 	842, 	267, 	1, 	474
Honolulu Star-Advertiser,staradvertiser, 	763, 	39, 	9, 	661
Atlanta Journal-Constitution,ajc, 	3262, 	276, 	44, 	2752
Detroit Free Press,freep, 	1192, 	197, 	147, 	737
Pittsburgh Post-Gazette,pittsburghpg, 	1127, 	124, 	7, 	966
Hartford Courant,hartfordcourant, 	419, 	25, 	2, 	388
Express,owhnews, 	1714, 	364, 	96, 	1240
The Mercury News,mercnews, 	1320, 	11, 	8, 	1299
Milwaukee Journal Sentinel,journalsentinel, 	592, 	5, 	36, 	524
Virginian-Pilot,virginianpilot, 	385, 	25, 	17, 	334
St. Louis Post-Dispatch,stltoday, 	1188, 	436, 	69, 	661
Chicago Sun-Times,suntimes, 	968, 	163, 	20, 	712
Sacramento Bee,sacbee_news, 	2568, 	1128, 	512, 	796
Orange County Register,ocregister, 	1119, 	66, 	2, 	1047
Buffalo News,thebuffalonews, 	1627, 	661, 	8, 	862
South Florida Sun-Sentinel,sunsentinel, 	2166, 	258, 	31, 	1845
Arkansas Democrat Gazette,arkansasonline, 	591, 	186, 	15, 	388
Fort Worth Star-Telegram,startelegram, 	1572, 	426, 	20, 	854
The Miami Herald,miamiherald, 	868, 	264, 	110, 	442
Columbus Dispatch,dispatchalerts, 	1087, 	190, 	40, 	845
Las Vegas Review-Journal,reviewjournal, 	1083, 	56, 	7, 	966
Cincinnati Enquirer,enquirer, 	720, 	120, 	48, 	446
The Baltimore Sun,baltimoresun, 	666, 	129, 	12, 	500
Indianapolis Star,indystar, 	1751, 	220, 	249, 	964
News & Observer,newsobserver, 	1080, 	26, 	46, 	974
Courier-Journal,courierjournal, 	963, 	257, 	15, 	593
Charlotte Observer,theobserver, 	531, 	348, 	5, 	150
Dayton Daily News,daytondailynews, 	878, 	62, 	86, 	703
San Antonio Express-News,expressnews, 	296, 	40, 	1, 	251
Oklahoman,theoklahoman, 	150, 	64, 	4, 	60
Omaha World-Herald,owhnews, 	1714, 	364, 	96, 	1240
Austin American-Statesman,statesman, 	424, 	70, 	7, 	330
Tribune Review,triblive, 	3102, 	348, 	4, 	2675
Albuquerque Journal,abqjournal, 	417, 	34, 	3, 	380
"Boston Herald, Boston Sunday Herald",bostonherald, 	513, 	214, 	3, 	253
The Palm Beach Post,pbpost, 	706, 	102, 	4, 	596
Morning Call,mcall, 	3132, 	2058, 	30, 	939
The Salt Lake Tribune,sltrib, 	786, 	14, 	12, 	748
Democrat And Chronicle,dandc, 	797, 	79, 	97, 	548
Blade,toledonews, 	213, 	34, 	11, 	134
Des Moines Register,dmregister, 	1174, 	302, 	23, 	827
The Detroit News,detroitnews, 	1167, 	557, 	8, 	579
Tennessean,tennessean, 	1161, 	76, 	164, 	822
Knoxville News Sentinel,knoxnews, 	876, 	9, 	119, 	644
"Daily Herald, The Sunday Herald",dailyherald, 	605, 	15, 	1, 	584
Wisconsin State Journal,wistatejournal, 	813, 	0, 	172, 	630
Deseret Morning News,deseretnews, 	1542, 	256, 	6, 	1272
Spokesman Review,spokesmanreview, 	196, 	116, 	13, 	56
Commercial Appeal,memphisnews, 	1634, 	62, 	294, 	1172
"Akron Beacon Journal, Sunday Akron Journal",ohiodotcom, 	436, 	240, 	14, 	170
Providence Journal,projo, 	173, 	56, 	2, 	115
Asbury Park Press,asburyparkpress ,1894,576,52,894
Sarasota Herald-Tribune,heraldtribune ,511,54,3,453
Florida Times-Union,jaxdotcom ,410,57,1,330
Naples Daily News,ndn ,276,59,27,159
The News Journal ,delawareonline ,621,8,112,401
Daytona Beach News-Journal,dbnewsjournal ,272,13,7,242
News-Press,thenewspress ,242,58,20,157
